date,rank,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,audiAcc,scrnCnt,showCnt
2026-06-09,6,20263941,마스터즈 오브 유니버스,2026-06-05,11334050,1.0,1341,12968,196,221
2026-06-09,7,20040734,노트북,2004-11-26,14705000,1.3,1319,841920,76,120
2026-06-09,8,20263262,맘보 점보,2026-06-03,8259500,0.7,1166,6125,34,34
2026-06-09,9,20263512,이상한 과자 가게 전천당,2026-05-29,8904650,0.8,1107,138737,217,237
2026-06-09,10,20263344,너바나 더 밴드,2026-05-20,8527400,0.7,865,62570,75,89
2026-06-08,1,20252402,군체,2026-05-21,524690440,42.8,52033,4779585,1386,5260
2026-06-08,2,20248252,와일드 씽,2026-06-03,297263190,24.2,31702,575420,1026,3774
2026-06-08,3,20263030,백룸,2026-05-27,186738060,15.2,17838,817475,720,2087
2026-06-08,4,20259626,마이클,2026-05-13,61120300,5.0,6224,1546376,492,770
2026-06-08,5,20258236,만달로리안과 그로구,2026-05-27,20340550,1.7,1956,193797,232,302
2026-06-08,6,20263941,마스터즈 오브 유니버스,2026-06-05,11183050,0.9,1304,11627,185,210
2026-06-08,7,20040734,노트북,2004-11-26,13044700,1.1,1170,840601,76,118
2026-06-08,8,20248484,신사: 악귀의 속삭임,2026-06-17,10676000,0.9,1114,1114,4,5
2026-06-08,9,20263344,너바나 더 밴드,2026-05-20,10054450,0.8,1023,61705,70,84
2026-06-08,10,20263512,이상한 과자 가게 전천당,2026-05-29,6910150,0.6,813,137630,206,234
2026-06-07,1,20252402,군체,2026-05-21,2090662990,43.1,204209,4727552,1598,6170
2026-06-07,2,20248252,와일드 씽,2026-06-03,1103783280,22.8,111726,543718,1161,4304
2026-06-07,3,20263030,백룸,2026-05-27,720664040,14.9,67802,799637,884,2500
2026-06-07,4,20259626,마이클,2026-05-13,247022640,5.1,23504,1540152,554,834
2026-06-07,5,20263512,이상한 과자 가게 전천당,2026-05-29,164903040,3.4,18402,136817,521,790
2026-06-07,6,20258236,만달로리안과 그로구,2026-05-27,154126350,3.2,11841,191841,308,448
2026-06-07,7,20259773,슈퍼 마리오 갤럭시,2026-04-29,55020060,1.1,5566,1630533,180,200
2026-06-07,8,20263272,돌핀보이: 푸른 바다의 수호자,2026-06-03,28062900,0.6,3115,13617,211,223
2026-06-07,9,20040734,노트북,2004-11-26,38720000,0.8,3037,839431,72,83
2026-06-07,10,20263941,마스터즈 오브 유니버스,2026-06-05,21591870,0.4,2412,10323,195,232
2026-06-06,1,20252402,군체,2026-05-21,2888849760,44.7,281917,4523343,1614,6470
2026-06-06,2,20248252,와일드 씽,2026-06-03,1473206300,22.8,149037,431992,1164,4565
2026-06-06,3,20263030,백룸,2026-05-27,986157400,15.2,93070,731835,908,2680
2026-06-06,4,20259626,마이클,2026-05-13,304925010,4.7,28968,1516648,550,848
2026-06-06,5,20263512,이상한 과자 가게 전천당,2026-05-29,170455630,2.6,19011,118415,537,809
2026-06-06,6,20258236,만달로리안과 그로구,2026-05-27,199503290,3.1,14863,180000,311,456
2026-06-06,7,20259773,슈퍼 마리오 갤럭시,2026-04-29,54862900,0.8,5551,1624967,189,212
2026-06-06,8,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,78193000,1.2,3400,20552,62,108
2026-06-06,9,20263272,돌핀보이: 푸른 바다의 수호자,2026-06-03,29045450,0.4,3273,10502,215,226
2026-06-06,10,20263941,마스터즈 오브 유니버스,2026-06-05,28721370,0.4,3170,7911,210,248
2026-06-05,1,20252402,군체,2026-05-21,1223201030,45.8,117731,4241426,1518,5810
2026-06-05,2,20248252,와일드 씽,2026-06-03,580375730,21.7,60413,282955,1211,4731
2026-06-05,3,20263030,백룸,2026-05-27,421418940,15.8,38942,638765,821,2294
2026-06-05,4,20259626,마이클,2026-05-13,114121700,4.3,11049,1487680,528,789
2026-06-05,5,20263941,마스터즈 오브 유니버스,2026-06-05,39104100,1.5,4615,4741,214,281
2026-06-05,6,20258236,만달로리안과 그로구,2026-05-27,46160490,1.7,4480,165137,297,385
2026-06-05,7,20040734,노트북,2004-11-26,36857950,1.4,3156,834080,86,145
2026-06-05,8,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,53751000,2.0,2337,17152,62,108
2026-06-05,9,20263512,이상한 과자 가게 전천당,2026-05-29,14347750,0.5,1696,99404,273,307
2026-06-05,10,20263344,너바나 더 밴드,2026-05-20,14778250,0.6,1450,55253,80,88
2026-06-04,1,20252402,군체,2026-05-21,794893120,43.9,79915,4123695,1419,5284
2026-06-04,2,20248252,와일드 씽,2026-06-03,370377110,20.4,40464,222542,1253,4715
2026-06-04,3,20263030,백룸,2026-05-27,278092200,15.4,27071,599823,775,1991
2026-06-04,4,20259626,마이클,2026-05-13,84382320,4.7,8681,1476631,517,784
2026-06-04,5,20258236,만달로리안과 그로구,2026-05-27,38377540,2.1,4174,160657,284,363
2026-06-04,6,20040734,노트북,2004-11-26,36310600,2.0,3279,830924,77,142
2026-06-04,7,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,74612000,4.1,3244,14815,62,110
2026-06-04,8,20263512,이상한 과자 가게 전천당,2026-05-29,14818660,0.8,1897,97708,267,301
2026-06-04,9,20263344,너바나 더 밴드,2026-05-20,11874850,0.7,1237,53803,81,90
2026-06-04,10,20258837,뒷자리에 태워줘,2026-05-27,7614850,0.4,1205,15323,70,70
2026-06-03,1,20252402,군체,2026-05-21,3337681070,43.5,331480,4043780,1516,5783
2026-06-03,2,20248252,와일드 씽,2026-06-03,1544648960,20.1,160757,182078,1351,5470
2026-06-03,3,20263030,백룸,2026-05-27,1189270000,15.5,114105,572752,872,2302
2026-06-03,4,20259626,마이클,2026-05-13,384025210,5.0,37148,1467950,524,788
2026-06-03,5,20263512,이상한 과자 가게 전천당,2026-05-29,274439010,3.6,30346,95811,531,714
2026-06-03,6,20258236,만달로리안과 그로구,2026-05-27,229318320,3.0,17876,156483,308,437
2026-06-03,7,20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,264470000,3.4,11499,11571,62,112
2026-06-03,8,20259773,슈퍼 마리오 갤럭시,2026-04-29,111860290,1.5,11396,1618762,196,217
2026-06-03,9,20263272,돌핀보이: 푸른 바다의 수호자,2026-06-03,48894050,0.6,5419,5634,222,242
2026-06-03,10,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,35994570,0.5,3475,70389,60,68
2026-06-02,1,20252402,군체,2026-05-21,1317454020,56.4,135392,3712300,1811,7383
2026-06-02,2,20263030,백룸,2026-05-27,399953380,17.1,39063,458647,841,2349
2026-06-02,3,20259626,마이클,2026-05-13,205796710,8.8,21071,1430802,694,1653
2026-06-02,4,20258236,만달로리안과 그로구,2026-05-27,151445420,6.5,13751,138607,641,1267
2026-06-02,5,20261766,상자 속의 양,2026-06-10,45207000,1.9,5023,10431,28,28
2026-06-02,6,20263512,이상한 과자 가게 전천당,2026-05-29,24879540,1.1,3005,65465,354,478
2026-06-02,7,20259791,악마는 프라다를 입는다 2,2026-04-29,27144850,1.2,2797,1590301,226,281
2026-06-02,8,20263344,너바나 더 밴드,2026-05-20,26022750,1.1,2386,49532,133,159
2026-06-02,9,20261782,프로젝트 헤일메리,2026-03-18,17916550,0.8,1804,2896778,105,121
2026-06-02,10,20242837,왕과 사는 남자,2026-02-04,9564150,0.4,1191,16891136,58,69
2026-06-01,1,20252402,군체,2026-05-21,1001853570,58.7,101982,3576908,1732,6914
2026-06-01,2,20263030,백룸,2026-05-27,297742370,17.4,28524,419584,762,2138
2026-06-01,3,20259626,마이클,2026-05-13,144152970,8.4,14792,1409731,660,1536
2026-06-01,4,20258236,만달로리안과 그로구,2026-05-27,95106040,5.6,8136,124856,598,1167
2026-06-01,5,20259791,악마는 프라다를 입는다 2,2026-04-29,20968700,1.2,2098,1587504,207,262
2026-06-01,6,20263512,이상한 과자 가게 전천당,2026-05-29,17079100,1.0,2039,62460,344,449
2026-06-01,7,20263344,너바나 더 밴드,2026-05-20,14826800,0.9,1473,47146,127,154
2026-06-01,8,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,10055100,0.6,950,66010,121,133
2026-06-01,9,20261782,프로젝트 헤일메리,2026-03-18,9407150,0.6,921,2894974,98,109
2026-06-01,10,20242837,왕과 사는 남자,2026-02-04,6944200,0.4,893,16889945,53,60
2026-05-31,1,20252402,군체,2026-05-21,3743323750,56.1,365462,3474926,1950,7981
2026-05-31,2,20263030,백룸,2026-05-27,1207138430,18.1,112952,391060,1014,2423
2026-05-31,3,20259626,마이클,2026-05-13,595519380,8.9,55194,1394939,757,1686
2026-05-31,4,20258236,만달로리안과 그로구,2026-05-27,346068670,5.2,28241,116720,680,1326
2026-05-31,5,20263512,이상한 과자 가게 전천당,2026-05-29,255206580,3.8,27551,60421,515,830
2026-05-31,6,20259773,슈퍼 마리오 갤럭시,2026-04-29,127807430,1.9,12984,1606324,365,493
2026-05-31,7,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,35612550,0.5,4876,30336,181,230
2026-05-31,8,20263344,너바나 더 밴드,2026-05-20,41761450,0.6,3730,45673,130,149
2026-05-31,9,20248252,와일드 씽,2026-06-03,34592150,0.5,3724,19981,50,57
2026-05-31,10,20259791,악마는 프라다를 입는다 2,2026-04-29,37310900,0.6,3502,1585406,148,181
2026-05-30,1,20252402,군체,2026-05-21,4520480510,57.2,423316,3109464,1991,8490
2026-05-30,2,20263030,백룸,2026-05-27,1442422690,18.3,132438,278108,909,2234
2026-05-30,3,20259626,마이클,2026-05-13,645725010,8.2,58074,1339745,776,1790
2026-05-30,4,20258236,만달로리안과 그로구,2026-05-27,429094260,5.4,33808,88479,687,1445
2026-05-30,5,20263512,이상한 과자 가게 전천당,2026-05-29,229950070,2.9,24240,32870,516,866
2026-05-30,6,20259773,슈퍼 마리오 갤럭시,2026-04-29,121608290,1.5,12164,1593340,393,539
2026-05-30,7,20248252,와일드 씽,2026-06-03,45752760,0.6,4963,16257,52,60
2026-05-30,8,20259791,악마는 프라다를 입는다 2,2026-04-29,46850140,0.6,4223,1581904,163,198
2026-05-30,9,20263344,너바나 더 밴드,2026-05-20,48306150,0.6,4201,41943,132,153
2026-05-30,10,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,32217200,0.4,4012,25460,166,216
2026-05-29,1,20252402,군체,2026-05-21,1976592280,56.5,182224,2686148,1854,7389
2026-05-29,2,20263030,백룸,2026-05-27,657402110,18.8,57805,145670,773,1851
2026-05-29,3,20259626,마이클,2026-05-13,261377230,7.5,23414,1281671,771,1811
2026-05-29,4,20258236,만달로리안과 그로구,2026-05-27,191356780,5.5,15000,54671,699,1670
2026-05-29,5,20263512,이상한 과자 가게 전천당,2026-05-29,57947950,1.7,6683,8630,485,738
2026-05-29,6,20248252,와일드 씽,2026-06-03,61953000,1.8,6217,11294,33,33
2026-05-29,7,20259791,악마는 프라다를 입는다 2,2026-04-29,47553490,1.4,4255,1577681,265,390
2026-05-29,8,20263344,너바나 더 밴드,2026-05-20,31051750,0.9,2538,37742,138,166
2026-05-29,9,20258837,뒷자리에 태워줘,2026-05-27,18367900,0.5,1715,7023,140,187
2026-05-29,10,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,18956200,0.5,1628,58129,140,155
2026-05-28,1,20252402,군체,2026-05-21,1297081510,55.2,125432,2503924,1773,6887
2026-05-28,2,20263030,백룸,2026-05-27,362902140,15.5,33233,87865,716,1691
2026-05-28,3,20259626,마이클,2026-05-13,193972910,8.3,18579,1258257,750,1805
2026-05-28,4,20258236,만달로리안과 그로구,2026-05-27,142624350,6.1,12037,39671,714,1720
2026-05-28,5,20261766,상자 속의 양,2026-06-10,48672000,2.1,5408,5408,32,32
2026-05-28,6,20263521,카드캡터 체리 극장판,2026-05-28,47883110,2.0,4456,4456,162,238
2026-05-28,7,20259791,악마는 프라다를 입는다 2,2026-04-29,38536350,1.6,3695,1573426,291,424
2026-05-28,8,20263344,너바나 더 밴드,2026-05-20,25996800,1.1,2275,35204,139,171
2026-05-28,9,20248252,와일드 씽,2026-06-03,17897000,0.8,1988,5077,10,10
2026-05-28,10,20258837,뒷자리에 태워줘,2026-05-27,14032650,0.6,1634,5308,142,191
2026-05-27,1,20252402,군체,2026-05-21,2017356160,58.1,209406,2378492,1813,6970
2026-05-27,2,20263030,백룸,2026-05-27,527841890,15.2,54104,54632,688,1609
2026-05-27,3,20259626,마이클,2026-05-13,339208030,9.8,34487,1239678,809,1879
2026-05-27,4,20258236,만달로리안과 그로구,2026-05-27,290204530,8.4,26242,27634,809,2103
2026-05-27,5,20259791,악마는 프라다를 입는다 2,2026-04-29,52991700,1.5,5334,1569731,304,452
2026-05-27,6,20263344,너바나 더 밴드,2026-05-20,33738100,1.0,3533,32929,149,178
2026-05-27,7,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,30452850,0.9,2935,54998,166,195
2026-05-27,8,20258837,뒷자리에 태워줘,2026-05-27,19684900,0.6,2045,3674,155,201
2026-05-27,9,20261782,프로젝트 헤일메리,2026-03-18,14555450,0.4,1398,2887013,106,126
2026-05-27,10,20263644,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,2026-05-27,31975000,0.9,1279,1279,21,21
2026-05-26,1,20252402,군체,2026-05-21,1585100740,76.8,150488,2169086,1858,7855
2026-05-26,2,20259626,마이클,2026-05-13,212201670,10.3,20593,1205191,809,2436
2026-05-26,3,20259791,악마는 프라다를 입는다 2,2026-04-29,62754630,3.0,5821,1564397,487,992
2026-05-26,4,20263344,너바나 더 밴드,2026-05-20,37500550,1.8,3192,29396,142,211
2026-05-26,5,20254121,살목지,2026-04-08,24665900,1.2,2196,3232833,331,464
2026-05-26,6,20261782,프로젝트 헤일메리,2026-03-18,23103620,1.1,2107,2885615,198,268
2026-05-26,7,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,21791930,1.1,2006,52063,335,471
2026-05-26,8,20259773,슈퍼 마리오 갤럭시,2026-04-29,11154100,0.5,1198,1578099,176,204
2026-05-26,9,20242837,왕과 사는 남자,2026-02-04,10669250,0.5,1181,16884978,134,152
2026-05-26,10,20262972,남태령,2026-05-20,5858650,0.3,706,4761,54,64
2026-05-25,1,20252402,군체,2026-05-21,5663497710,71.0,516982,2018598,2060,9008
2026-05-25,2,20259626,마이클,2026-05-13,1187285280,14.9,109379,1184598,901,2773
2026-05-25,3,20259773,슈퍼 마리오 갤럭시,2026-04-29,386686540,4.8,38095,1576901,585,1027
2026-05-25,4,20259791,악마는 프라다를 입는다 2,2026-04-29,181207340,2.3,16318,1558576,495,842
2026-05-25,5,20254121,살목지,2026-04-08,90076350,1.1,8147,3230637,384,514
2026-05-25,6,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,81767710,1.0,7308,50057,368,501
2026-05-25,7,20261782,프로젝트 헤일메리,2026-03-18,76218220,1.0,6880,2883508,176,209
2026-05-25,8,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,60941600,0.8,6682,19146,221,350
2026-05-25,9,20263344,너바나 더 밴드,2026-05-20,67013600,0.8,5652,26204,153,201
2026-05-25,10,20242837,왕과 사는 남자,2026-02-04,27949860,0.4,2802,16883797,117,144
2026-05-24,1,20252402,군체,2026-05-21,6423873700,72.4,577520,1501616,2110,9509
2026-05-24,2,20259626,마이클,2026-05-13,1370516100,15.4,122849,1075219,922,2924
2026-05-24,3,20259773,슈퍼 마리오 갤럭시,2026-04-29,282533780,3.2,27591,1538806,621,1059
2026-05-24,4,20259791,악마는 프라다를 입는다 2,2026-04-29,191649900,2.2,16996,1542258,524,904
2026-05-24,5,20254121,살목지,2026-04-08,113065900,1.3,9998,3222490,404,565
2026-05-24,6,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,98825670,1.1,8702,42749,375,525
2026-05-24,7,20261782,프로젝트 헤일메리,2026-03-18,80397000,0.9,6975,2876628,170,207
2026-05-24,8,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,47388700,0.5,5355,12464,220,354
2026-05-24,9,20263344,너바나 더 밴드,2026-05-20,53486500,0.6,4591,20552,153,196
2026-05-24,10,20263253,극장판 내 마음의 위험한 녀석,2026-05-21,54555100,0.6,4429,15740,124,181
2026-05-23,1,20252402,군체,2026-05-21,5329924380,70.5,475783,924096,2103,9523
2026-05-23,2,20259626,마이클,2026-05-13,1166914310,15.4,103652,952370,856,2839
2026-05-23,3,20259773,슈퍼 마리오 갤럭시,2026-04-29,247923560,3.3,24347,1511215,610,1039
2026-05-23,4,20259791,악마는 프라다를 입는다 2,2026-04-29,181320550,2.4,15980,1525262,521,931
2026-05-23,5,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,133851900,1.8,11699,34047,397,552
2026-05-23,6,20254121,살목지,2026-04-08,97702190,1.3,8638,3212492,414,560
2026-05-23,7,20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,57078900,0.8,6708,7109,221,372
2026-05-23,8,20261782,프로젝트 헤일메리,2026-03-18,63618250,0.8,5490,2869653,171,211
2026-05-23,9,20263344,너바나 더 밴드,2026-05-20,61579400,0.8,5283,15961,155,204
2026-05-23,10,20263253,극장판 내 마음의 위험한 녀석,2026-05-21,59098130,0.8,4873,11311,124,182
2026-05-22,1,20252402,군체,2026-05-21,2579467970,73.4,230039,448313,2026,8607
2026-05-22,2,20259626,마이클,2026-05-13,463522440,13.2,41008,848718,874,2796
2026-05-22,3,20259791,악마는 프라다를 입는다 2,2026-04-29,131440680,3.7,11684,1509282,544,1174
2026-05-22,4,20254121,살목지,2026-04-08,56039500,1.6,4841,3203854,446,667
2026-05-22,5,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,56722090,1.6,4779,22348,378,607
2026-05-22,6,20259773,슈퍼 마리오 갤럭시,2026-04-29,33194200,0.9,3594,1486868,237,288
2026-05-22,7,20263344,너바나 더 밴드,2026-05-20,33818900,1.0,2850,10678,138,220
2026-05-22,8,20261782,프로젝트 헤일메리,2026-03-18,30616450,0.9,2654,2864163,181,221
2026-05-22,9,20263253,극장판 내 마음의 위험한 녀석,2026-05-21,29917080,0.9,2543,6438,109,181
2026-05-22,10,20242837,왕과 사는 남자,2026-02-04,14060700,0.4,1500,16876672,129,150
2026-05-21,1,20252402,군체,2026-05-21,2134346400,74.6,199762,218274,1964,8118
2026-05-21,2,20259626,마이클,2026-05-13,306013710,10.7,29285,807710,868,2623
2026-05-21,3,20259791,악마는 프라다를 입는다 2,2026-04-29,100808750,3.5,9413,1497598,529,1108
2026-05-21,4,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,45325610,1.6,4094,17569,374,604
2026-05-21,5,20263253,극장판 내 마음의 위험한 녀석,2026-05-21,43427110,1.5,3895,3895,115,205
2026-05-21,6,20263363,리마인더스 오브 힘,2026-05-27,21000000,0.7,3000,3000,17,17
2026-05-21,7,20254121,살목지,2026-04-08,32064850,1.1,2914,3199013,384,545
2026-05-21,8,20263344,너바나 더 밴드,2026-05-20,31733050,1.1,2674,7828,133,212
2026-05-21,9,20259773,슈퍼 마리오 갤럭시,2026-04-29,19872600,0.7,2518,1483274,200,234
2026-05-21,10,20242837,왕과 사는 남자,2026-02-04,18803950,0.7,2334,16875172,137,161
2026-05-20,1,20259626,마이클,2026-05-13,522751410,38.7,48844,778425,1563,5288
2026-05-20,2,20259791,악마는 프라다를 입는다 2,2026-04-29,169166720,12.5,15939,1488185,752,2137
2026-05-20,3,20252402,군체,2026-05-21,135623000,10.0,14212,18512,68,70
2026-05-20,4,20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,131275280,9.7,11687,13475,440,901
2026-05-20,5,20254121,살목지,2026-04-08,101787700,7.5,9620,3196099,644,1560
2026-05-20,6,20261782,프로젝트 헤일메리,2026-03-18,52963600,3.9,4949,2859808,370,537
2026-05-20,7,20259773,슈퍼 마리오 갤럭시,2026-04-29,34344910,2.5,3741,1480756,392,531
2026-05-20,8,20263344,너바나 더 밴드,2026-05-20,41492300,3.1,3635,5154,155,273
2026-05-20,9,20242837,왕과 사는 남자,2026-02-04,31056600,2.3,3521,16872838,251,344
2026-05-20,10,20194376,탑건: 매버릭,2022-06-22,22155540,1.6,1915,8275966,93,147
2026-05-19,1,20259626,마이클,2026-05-13,410894860,44.1,38030,729581,1526,5059
2026-05-19,2,20259791,악마는 프라다를 입는다 2,2026-04-29,144264530,15.5,13783,1472246,772,2174
2026-05-19,3,20254121,살목지,2026-04-08,85084100,9.1,7973,3186479,613,1541
